nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
AZOUE;BJ;;—;Non précisé;BEN-0001;Public;2024-2025
CEG 1 ABOMEY;BJ;Zou;ABOMEY;Collège;BEN-0002;Public;2024-2025
CEG 1 Abomey-Calavi;BJ;;—;Collège;BEN-0003;Public;2024-2025
CEG 1 ALLADA;BJ;Atlantique;ALLADA;Collège;BEN-0004;Public;2024-2025
CEG 1 APLAHOUE;BJ;Couffo;APLAHOUE;Collège;BEN-0005;Public;2024-2025
CEG 1 AZOVE;BJ;Couffo;APLAHOUE;Collège;BEN-0006;Public;2024-2025
CEG 1 BANTE;BJ;;—;Collège;BEN-0007;Public;2024-2025
CEG 1 BOHICON;BJ;Zou;BOHICON;Collège;BEN-0008;Public;2024-2025
CEG 1 COME;BJ;Mono;COME;Collège;BEN-0009;Public;2024-2025
CEG 1 COVE;BJ;Zou;COVE;Collège;BEN-0010;Public;2024-2025
CEG 1 DASSA;BJ;;—;Collège;BEN-0011;Public;2024-2025
CEG 1 DOGBO;BJ;Couffo;DOGBO;Collège;BEN-0012;Public;2024-2025
CEG 1 GLAZOUE;BJ;;—;Collège;BEN-0013;Public;2024-2025
CEG 1 GODOMEY;BJ;;—;Collège;BEN-0014;Public;2024-2025
CEG 1 GOLO-DJIGBE;BJ;;—;Collège;BEN-0015;Public;2024-2025
CEG 1 IFANGNI;BJ;Plateau;IFANGNI;Collège;BEN-0016;Public;2024-2025
CEG 1 KANDI;BJ;Alibori;KANDI;Collège;BEN-0017;Public;2024-2025
CEG 1 KILIBO;BJ;;—;Collège;BEN-0018;Public;2024-2025
CEG 1 LOKOSSA;BJ;Mono;LOKOSSA;Collège;BEN-0019;Public;2024-2025
CEG 1 OUESSE;BJ;Collines;OUESSE;Collège;BEN-0020;Public;2024-2025
CEG 1 OUIDAH;BJ;Atlantique;OUIDAH;Collège;BEN-0021;Public;2024-2025
CEG 1 POBE;BJ;Plateau;POBE;Collège;BEN-0022;Public;2024-2025
CEG 1 SAVALOU;BJ;;—;Collège;BEN-0023;Public;2024-2025
CEG 1 SAVE;BJ;Collines;SAVE;Collège;BEN-0024;Public;2024-2025
CEG 1 TCHAOUROU;BJ;Borgou;TCHAOUROU;Collège;BEN-0025;Public;2024-2025
CEG 1 THIO;BJ;;—;Collège;BEN-0026;Public;2024-2025
CEG 2 ABOMEY;BJ;Zou;ABOMEY;Collège;BEN-0027;Public;2024-2025
CEG 2 ABOMEY-CALAVI;BJ;;—;Collège;BEN-0028;Public;2024-2025
CEG 2 ALLADA;BJ;Atlantique;ALLADA;Collège;BEN-0029;Public;2024-2025
CEG 2 BANTE;BJ;;—;Collège;BEN-0030;Public;2024-2025
CEG 2 BOHICON;BJ;Zou;BOHICON;Collège;BEN-0031;Public;2024-2025
CEG 2 COVE;BJ;Zou;COVE;Collège;BEN-0032;Public;2024-2025
CEG 2 DASSA;BJ;;—;Collège;BEN-0033;Public;2024-2025
CEG 2 DOGBO;BJ;Couffo;DOGBO;Collège;BEN-0034;Public;2024-2025
CEG 2 GLAZOUE;BJ;;—;Collège;BEN-0035;Public;2024-2025
CEG 2 GODOMEY;BJ;;—;Collège;BEN-0036;Public;2024-2025
CEG 2 GOLO-DJIGBE;BJ;;—;Collège;BEN-0037;Public;2024-2025
CEG 2 IFANGNI;BJ;Plateau;IFANGNI;Collège;BEN-0038;Public;2024-2025
CEG 2 KANDI;BJ;Alibori;KANDI;Collège;BEN-0039;Public;2024-2025
CEG 2 KILIBO;BJ;;—;Collège;BEN-0040;Public;2024-2025
CEG 2 OUESSE;BJ;;—;Collège;BEN-0041;Public;2024-2025
CEG 2 OUIDAH;BJ;Atlantique;OUIDAH;Collège;BEN-0042;Public;2024-2025
CEG 2 PAHOU;BJ;;—;Collège;BEN-0043;Public;2024-2025
CEG 2 POBE;BJ;Plateau;POBE;Collège;BEN-0044;Public;2024-2025
CEG 2 SAKETE;BJ;Plateau;SAKETE;Collège;BEN-0045;Public;2024-2025
CEG 2 SAVALOU;BJ;;—;Collège;BEN-0046;Public;2024-2025
CEG 2 SAVE;BJ;;—;Collège;BEN-0047;Public;2024-2025
CEG 2 TCHAOUROU;BJ;Borgou;TCHAOUROU;Collège;BEN-0048;Public;2024-2025
CEG 2 THIO;BJ;;—;Collège;BEN-0049;Public;2024-2025
CEG 2AKPKPA CENTRE;BJ;;—;Collège;BEN-0050;Public;2024-2025
CEG 3 ABOMEY;BJ;Zou;ABOMEY;Collège;BEN-0051;Public;2024-2025
CEG 3 ABOMEY-CALAVI;BJ;;—;Collège;BEN-0052;Public;2024-2025
CEG 3 BOHICON;BJ;Zou;BOHICON;Collège;BEN-0053;Public;2024-2025
CEG 3 COVE;BJ;Zou;COVE;Collège;BEN-0054;Public;2024-2025
CEG 3 DASSA;BJ;;—;Collège;BEN-0055;Public;2024-2025
CEG 3 GLAZOUE;BJ;;—;Collège;BEN-0056;Public;2024-2025
CEG 3 GOLO DJIGBE;BJ;;—;Collège;BEN-0057;Public;2024-2025
CEG 3 KANDI;BJ;Alibori;KANDI;Collège;BEN-0058;Public;2024-2025
CEG 3 OUESSE;BJ;;—;Collège;BEN-0059;Public;2024-2025
CEG 3 OUIDAH;BJ;;—;Collège;BEN-0060;Public;2024-2025
CEG 3 SAVALOU;BJ;;—;Collège;BEN-0061;Public;2024-2025
CEG 3 SAVE;BJ;;—;Collège;BEN-0062;Public;2024-2025
CEG 5 BOHICON;BJ;Zou;BOHICON;Collège;BEN-0063;Public;2024-2025
CEG 5 LOKOSSA;BJ;Mono;LOKOSSA;Collège;BEN-0064;Public;2024-2025
CEG 6 LOKOSSA;BJ;Mono;LOKOSSA;Collège;BEN-0065;Public;2024-2025
CEG ACADJAMEY ADJOVICODJI;BJ;Atlantique;OUIDAH;Collège;BEN-0066;Public;2024-2025
