nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
BADINGA;BF;Boucle du Mouhoun;BALAVE;École primaire;BF-00001;Public;2016-2017
BALAVE A;BF;Boucle du Mouhoun;BALAVE;École primaire;BF-00002;Public;2016-2017
BALAVE B;BF;Boucle du Mouhoun;BALAVE;École primaire;BF-00003;Public;2016-2017
DOGO;BF;Boucle du Mouhoun;BALAVE;École primaire;BF-00004;Public;2016-2017
GAMA;BF;Boucle du Mouhoun;BALAVE;École primaire;BF-00005;Public;2016-2017
HASBIALAYE;BF;Boucle du Mouhoun;BALAVE;École primaire;BF-00006;Public;2016-2017
LAGO;BF;Boucle du Mouhoun;BALAVE;École primaire;BF-00007;Public;2016-2017
LAWARAKUY;BF;Boucle du Mouhoun;BALAVE;École primaire;BF-00008;Public;2016-2017
TANGOUNA;BF;Boucle du Mouhoun;BALAVE;École primaire;BF-00009;Public;2016-2017
YASSO A;BF;Boucle du Mouhoun;BALAVE;École primaire;BF-00010;Public;2016-2017
YASSO B;BF;Boucle du Mouhoun;BALAVE;École primaire;BF-00011;Public;2016-2017
HASBIALAYE;BF;Boucle du Mouhoun;BALAVE;École primaire;BF-00012;Public;2016-2017
BAMBARASSO;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00013;Public;2016-2017
BANKOUMA;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00014;Public;2016-2017
BOURAWALE;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00015;Public;2016-2017
DIMA LANFIERA;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00016;Public;2016-2017
DIONTALA A;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00017;Public;2016-2017
DIONTALA B;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00018;Public;2016-2017
FINI;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00019;Public;2016-2017
KELWORO;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00020;Public;2016-2017
KODARA;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00021;Public;2016-2017
KOUKA A;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00022;Public;2016-2017
KOUKA B;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00023;Public;2016-2017
KOUKA C;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00024;Public;2016-2017
KOUKA D;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00025;Public;2016-2017
KOUKA E;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00026;Public;2016-2017
KOUKA F;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00027;Public;2016-2017
KOULAKOU;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00028;Public;2016-2017
KOUROUMANI A;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00029;Public;2016-2017
KOUROUMANI B;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00030;Public;2016-2017
LIABA;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00031;Public;2016-2017
MAHOUANA A;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00032;Public;2016-2017
MAHOUANA B;BF;Boucle du Mouhoun;KOUKA;École primaire;BF-00033;Public;2016-2017
