nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
Academic School of Excellence;CM;Centre;Yaoundé;École primaire;CM-001;Privé;2024-2025
Ahala 1 Primary School Sainte Therese;CM;Centre;Yaoundé;École primaire;CM-002;Privé;2024-2025
GatewayBNPS;CM;Littoral;Bonabéri;École primaire;CM-003;Non précisé;2024-2025
Group Private School Bilingue Saint Benoît D'ete;CM;Centre;Yaoundé;École primaire;CM-004;Privé;2024-2025
Groupe Scolaire Bilingue DA MANO A MANO;CM;Littoral;Douala;École primaire;CM-005;Non précisé;2024-2025
Gsb Miguel Bnps;CM;Littoral;Douala;École primaire;CM-006;Non précisé;2024-2025
Lorraine;CM;Sud-Ouest;Limbe;École primaire;CM-007;Non précisé;2024-2025
New Hope Nursery and Primary School;CM;Littoral;Douala;École primaire;CM-008;Privé;2024-2025
Nursery And Primary School Billingue L'etoile D'aurore;CM;Littoral;Douala;École primaire;CM-009;Privé;2024-2025
Private Bilingual Primary And Nursery School;CM;Centre;Yaoundé;École primaire;CM-010;Privé;2024-2025
School Group Bilingue La Moisson;CM;Centre;Mbalmayo;École primaire;CM-011;Privé;2024-2025
School Group Bilingue Fotso;CM;Littoral;Douala;École primaire;CM-012;Privé;2024-2025
School Group Bilingue Les Mareuils;CM;Littoral;Douala;École primaire;CM-013;Privé;2024-2025
St Mary Bilingual School Campus A;CM;Centre;Yaoundé;École primaire;CM-014;Privé;2024-2025
1 2 3 Soleil;CM;Centre;Yaoundé;École primaire;CM-015;Non précisé;2024-2025
Academic School of Excellence;CM;Centre;Yaoundé;École primaire;CM-016;Privé;2024-2025
ADMEUP Digital Academy LTD;CM;Littoral;Douala;École primaire;CM-017;Privé;2024-2025
Alpha Department of Intelligence;CM;Littoral;Douala;École primaire;CM-018;Non précisé;2024-2025
American School of Douala;CM;Littoral;Douala;École primaire;CM-019;Privé;2024-2025
ASRAD;CM;Centre;Yaoundé;École primaire;CM-020;Non précisé;2024-2025
Akam Bilingual Academy, Nkozoa Campus B;CM;Centre;Yaoundé;École primaire;CM-021;Privé;2024-2025
Cameroon International School Bastos;CM;Centre;Yaoundé;École primaire;CM-022;Privé;2024-2025
Canne et Coussinett;CM;Centre;Yaoundé;École primaire;CM-023;Non précisé;2024-2025
Centre Scolaire Tom & John;CM;Littoral;Douala;École primaire;CM-024;Non précisé;2024-2025
CESAM-CRERA;CM;Centre;Yaoundé;École primaire;CM-025;Non précisé;2024-2025
Complexe Scolaire Fleur d'Eden;CM;Centre;Yaoundé;École primaire;CM-026;Privé;2024-2025
Complexe Scolaire Jeanne d'Arc;CM;Centre;Yaoundé;École primaire;CM-027;Privé;2024-2025
Complexe Scolaire La Petite Severine;CM;Centre;Yaoundé;École primaire;CM-028;Privé;2024-2025
CSBIC La Clairière;CM;Centre;Yaoundé;École primaire;CM-029;Non précisé;2024-2025
Complexe Scolaire Bilingue Magny;CM;Centre;Yaoundé;École primaire;CM-030;Privé;2024-2025
Diamonds Bilingual Nursery & Primary School;CM;Littoral;Douala;École primaire;CM-031;Privé;2024-2025
Divine International Nursery & Primary School;CM;Littoral;Douala;École primaire;CM-032;Privé;2024-2025
Ecole Africaine Bilingue des Etoiles;CM;Centre;Yaoundé;École primaire;CM-033;Non précisé;2024-2025
Ecole Américaine;CM;Centre;Yaoundé;École primaire;CM-034;Non précisé;2024-2025
Ecole Bilingue Les Metangs;CM;Littoral;Douala;École primaire;CM-035;Non précisé;2024-2025
Ecole Bilingue Maternelle et Primaire Bergeronnette;CM;Littoral;Douala;École primaire;CM-036;Non précisé;2024-2025
Ecole Bilingue Olive;CM;Littoral;Douala;École primaire;CM-037;Non précisé;2024-2025
Ecole Bilingue PI & JU;CM;Centre;Yaoundé;École primaire;CM-038;Non précisé;2024-2025
Ecole Bilingue Primaire Les Petits Pas;CM;Centre;Yaoundé;École primaire;CM-039;Non précisé;2024-2025
Ecole CEBEC Kondi PK9;CM;Littoral;Douala;École primaire;CM-040;Non précisé;2024-2025
Ecole Charles Duclaux;CM;Littoral;Douala;École primaire;CM-041;Non précisé;2024-2025
Ecole Citadelle;CM;Littoral;Douala;École primaire;CM-042;Non précisé;2024-2025
Ecole Dauphine;CM;Littoral;Douala;École primaire;CM-043;Non précisé;2024-2025
Ecole de l'Avenir;CM;Littoral;Douala;École primaire;CM-044;Non précisé;2024-2025
Ecole Dominique Savio;CM;Littoral;Douala;École primaire;CM-045;Non précisé;2024-2025
Ecole Internationale Le Flamboyant;CM;Centre;Yaoundé;École primaire;CM-046;Non précisé;2024-2025
Ecole John Wesley;CM;Littoral;Douala;École primaire;CM-047;Non précisé;2024-2025
Ecole Le Bourgeois;CM;Littoral;Douala;École primaire;CM-048;Non précisé;2024-2025
Ecole Le Petit Monde;CM;Littoral;Douala;École primaire;CM-049;Non précisé;2024-2025
Ecole Les Canaris;CM;Littoral;Douala;École primaire;CM-050;Non précisé;2024-2025
Ecole Les Enfants de Mama Nono;CM;Littoral;Douala;École primaire;CM-051;Non précisé;2024-2025
Ecole Marie Gocker;CM;Centre;Yaoundé;École primaire;CM-052;Non précisé;2024-2025
Ecole Maternelle & Garderie Marie Gortti;CM;Littoral;Douala;École primaire;CM-053;Non précisé;2024-2025
Ecole Maternelle & Primaire Chrisland;CM;Littoral;Douala;École primaire;CM-054;Non précisé;2024-2025
Ecole Maternelle & Primaire Le Pelicam;CM;Littoral;Douala;École primaire;CM-055;Non précisé;2024-2025
