nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
LYCEE ANTENOR FIRMIN;HT;Nord;CAP-HAITIEN;Lycée;HTI-00001;Public;2024-2025
LYCEE BOISROND TONNERRE;HT;Nord;CAP-HAITIEN;Lycée;HTI-00002;Public;2024-2025
Lycée des Jeunes Filles;HT;Nord;CAP-HAITIEN;Lycée;HTI-00003;Public;2024-2025
Lycée François Capois;HT;Nord;CAP-HAITIEN;Lycée;HTI-00004;Public;2024-2025
Lycée Henry Christophe;HT;Nord;CAP-HAITIEN;Lycée;HTI-00005;Public;2024-2025
Lycée Jean Baptiste Boukman;HT;Nord;CAP-HAITIEN;Lycée;HTI-00006;Public;2024-2025
Lycée Mesmin Gabriel;HT;Nord;CAP-HAITIEN;Lycée;HTI-00007;Public;2024-2025
Lycée National de Sainte Philomène;HT;Nord;CAP-HAITIEN;Lycée;HTI-00008;Public;2024-2025
Lycee Paul Eugene Magloire de Quartier Morin;HT;Nord;CAP-HAITIEN;Lycée;HTI-00009;Public;2024-2025
Lycée Phillippe Guerrier;HT;Nord;CAP-HAITIEN;Lycée;HTI-00010;Public;2024-2025
Lycee Toussaint Louverture de Breda;HT;Nord;CAP-HAITIEN;Lycée;HTI-00011;Public;2024-2025
Lycée Jean Louis Pierrot de l’Acul du Nord;HT;Nord;ACUL DU NORD;Lycée;HTI-00012;Public;2024-2025
Lycée National Jacques 1er de Camp Louise;HT;Nord;ACUL DU NORD;Lycée;HTI-00013;Public;2024-2025
LYCEE NATIONAL JACQUES ROUMAIN;HT;Nord;ACUL DU NORD;Lycée;HTI-00014;Public;2024-2025
Lycée Oswald Durand;HT;Nord;ACUL DU NORD;Lycée;HTI-00015;Public;2024-2025
Lycée Jean-Baptiste Cinéas;HT;Nord;LIMBE;Lycée;HTI-00016;Public;2024-2025
LYCEE LUC STEPHEN DE BAS-LIMBE;HT;Nord;LIMBE;Lycée;HTI-00017;Public;2024-2025
Lycée Nationale Jean-Jacques Acaau;HT;Nord;LIMBE;Lycée;HTI-00018;Public;2024-2025
Lycée National Mackandal;HT;Nord;LIMBE;Lycée;HTI-00019;Public;2024-2025
Lycée Padre Jean de Petit Bourg de Borgne;HT;Nord;LIMBE;Lycée;HTI-00020;Public;2024-2025
Lycee Gregoire Eugene;HT;Nord;BAHON;Lycée;HTI-00021;Public;2024-2025
Lycée Jean-Jacques Dessalines;HT;Nord;GRANDE-RIVIERE DU NORD;Lycée;HTI-00022;Public;2024-2025
Lycée Tricentenaire;HT;Nord;GRANDE-RIVIERE DU NORD;Lycée;HTI-00023;Public;2024-2025
Lycée de Plaisance;HT;Nord;PLAISANCE;Lycée;HTI-00024;Public;2024-2025
Lycee National de Pilate;HT;Nord;PILATE;Lycée;HTI-00025;Public;2024-2025
Lycée National de Dondon;HT;Nord;DONDON;Lycée;HTI-00026;Public;2024-2025
LYCEE ANTENOR FIRMIN;HT;Nord;RANQUITE;Lycée;HTI-00027;Public;2024-2025
LYCEE DE LA VICTOIRE;HT;Nord;LA VICTOIRE;Lycée;HTI-00028;Public;2024-2025
Lycée National Charlemagne Péralte;HT;Nord;SAINT RAPHAEL;Lycée;HTI-00029;Public;2024-2025
