nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
Ecole fondamentale Medersa SABIL-HOUDA SC;ML;Bandiagara;Commune rurale Sokoura;École fondamentale;MLI-0001;Privé;2024-2025
Ecole fondamentale Medersa DJIGUIYA SC;ML;Bandiagara;Commune rurale Sokoura;École fondamentale;MLI-0002;Privé;2024-2025
Ecole fondamentale GSSNK SC;ML;Bandiagara;Commune rurale Sangha;École fondamentale;MLI-0003;Privé;2024-2025
Ecole fondamentale Medersa Kamba Bandié 2e Cycle;ML;Bandiagara;Commune rurale Sangha;École fondamentale;MLI-0004;Privé;2024-2025
Ecole fondamentale Tabitongo 2e Cycle;ML;Bandiagara;Commune rurale Sangha;École fondamentale;MLI-0005;Privé;2024-2025
Ecole fondamentale Pélou 2e Cycle;ML;Bandiagara;Commune rurale Sangha;École fondamentale;MLI-0006;Privé;2024-2025
Ecole fondamentale Biné 2e Cycle;ML;Bandiagara;Commune rurale Sangha;École fondamentale;MLI-0007;Privé;2024-2025
Ecole fondamentale Medersa IBI;ML;Bandiagara;Commune rurale Sangha;École fondamentale;MLI-0008;Privé;2024-2025
Ecole fondamentale Medersa Kamba Komodiguily 2e C;ML;Bandiagara;Commune rurale Sangha;École fondamentale;MLI-0009;Privé;2024-2025
Ecole fondamentale Ouroly 2e C;ML;Bandiagara;Commune rurale Sangha;École fondamentale;MLI-0010;Privé;2024-2025
Lycée KODA - Kalabancoro ADEKENE;ML;Bamako;4e Arrondissement;Lycée;MLI-0011;Privé;2024-2025
LYCEE Louise Ouimet (LLOD) - Hamdallaye ACI;ML;Bamako;4e Arrondissement;Lycée;MLI-0012;Privé;2024-2025
LYCÉE D'EXCELLENCE DE BAMAKO (LEXCEL);ML;Bamako;4e Arrondissement;Lycée;MLI-0013;Privé;2024-2025
Lycée privé Mama Kone (LP MAMA) - Kalaban Coro;ML;Bamako;4e Arrondissement;Lycée;MLI-0014;Privé;2024-2025
Lycée Privée Montesquieu - kalaban;ML;Bamako;4e Arrondissement;Lycée;MLI-0015;Privé;2024-2025
Groupe Scolaire Mama Ndiaye De Kati;ML;Koulikoro;Commune Urbaine de Kati;Lycée;MLI-0016;Privé;2024-2025
Complexe Scolaire Mama Théra (CMT);ML;Bamako;7e Arrondissement;Lycée;MLI-0017;Privé;2024-2025
EPSILON School;ML;Bamako;1er Arrondissement;Lycée;MLI-0018;Privé;2024-2025
LYCEE NOTRE DAME DU NIGER - QUARTIER DU FLEUVE Bamako;ML;Bamako;4e Arrondissement;Lycée;MLI-0019;Public;2024-2025
ETABLISSEMENT SCOLAIRE ALADDIN - Hamdallaye ACI 2000 Bamako;ML;Bamako;4e Arrondissement;Lycée;MLI-0020;Public;2024-2025
LA MAISON DU SAVOIR;ML;Bamako;Deuxième Arrondissement;École fondamentale;MLI-0021;Privé;2024-2025
LA REUSSITE (1er Cycle);ML;Bamako;Deuxième Arrondissement;École fondamentale;MLI-0022;Privé;2024-2025
