nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
Aderbissinat publique;NE;Agadez;ADEBISSANAT;École primaire;NE-101012001;Public;2021-2022
Marendet;NE;Agadez;ADEBISSANAT;École primaire;NE-101012002;Public;2021-2022
Tchintaborak Sud;NE;Agadez;ADEBISSANAT;École primaire;NE-101012003;Public;2021-2022
Abalama;NE;Agadez;ADEBISSANAT;École primaire;NE-101012004;Public;2021-2022
Tadibène;NE;Agadez;ADEBISSANAT;École primaire;NE-101012005;Public;2021-2022
Tagdofat;NE;Agadez;ADEBISSANAT;École primaire;NE-101012006;Public;2021-2022
Anialé;NE;Agadez;ADEBISSANAT;École primaire;NE-101012007;Public;2021-2022
Tougblana;NE;Agadez;ADEBISSANAT;École primaire;NE-101012008;Public;2021-2022
Aghalal N'garan;NE;Agadez;ADEBISSANAT;École primaire;NE-101012009;Public;2021-2022
Echia;NE;Agadez;ADEBISSANAT;École primaire;NE-101012010;Public;2021-2022
Fouta;NE;Agadez;ADEBISSANAT;École primaire;NE-101012011;Public;2021-2022
Tchinabro;NE;Agadez;ADEBISSANAT;École primaire;NE-101012012;Public;2021-2022
Amesdénine 1;NE;Agadez;ADEBISSANAT;École primaire;NE-101012013;Public;2021-2022
Eknawane;NE;Agadez;ADEBISSANAT;École primaire;NE-101012014;Public;2021-2022
Tiguidit;NE;Agadez;ADEBISSANAT;École primaire;NE-101012015;Public;2021-2022
Inzighanane;NE;Agadez;ADEBISSANAT;École primaire;NE-101012016;Public;2021-2022
Tchoughass;NE;Agadez;ADEBISSANAT;École primaire;NE-101012017;Public;2021-2022
Medersa Tchimbilghan;NE;Agadez;ADEBISSANAT;École primaire;NE-101012019;Public;2021-2022
Echker;NE;Agadez;ADEBISSANAT;École primaire;NE-101012020;Public;2021-2022
Intarakat Inissili;NE;Agadez;ADEBISSANAT;École primaire;NE-101012021;Public;2021-2022
Medersa Madina;NE;Agadez;ADEBISSANAT;École primaire;NE-101012022;Public;2021-2022
Tchinagarof 1;NE;Agadez;ADEBISSANAT;École primaire;NE-101012023;Public;2021-2022
Kouri Dentess;NE;Agadez;ADEBISSANAT;École primaire;NE-101012025;Public;2021-2022
Medersa Tétoukounout;NE;Agadez;ADEBISSANAT;École primaire;NE-101012026;Public;2021-2022
Galadima Medersa;NE;Agadez;ADEBISSANAT;École primaire;NE-101012027;Public;2021-2022
Intarakat Tchinissifrad;NE;Agadez;ADEBISSANAT;École primaire;NE-101012028;Public;2021-2022
Medersa Bourgoutan;NE;Agadez;ADEBISSANAT;École primaire;NE-101012029;Public;2021-2022
Medersa Tchintaborak;NE;Agadez;ADEBISSANAT;École primaire;NE-101012030;Public;2021-2022
Tchimbilghan traditionnel;NE;Agadez;ADEBISSANAT;École primaire;NE-101012031;Public;2021-2022
Baggo Medersa;NE;Agadez;ADEBISSANAT;École primaire;NE-101012033;Public;2021-2022
Medersa Guermawane;NE;Agadez;ADEBISSANAT;École primaire;NE-101012034;Public;2021-2022
Wadata medersa;NE;Agadez;ADEBISSANAT;École primaire;NE-101012035;Public;2021-2022
Tchillilène /Medersa;NE;Agadez;ADEBISSANAT;École primaire;NE-101012036;Public;2021-2022
Eguef;NE;Agadez;ADEBISSANAT;École primaire;NE-101012037;Public;2021-2022
Anoussa;NE;Agadez;ADEBISSANAT;École primaire;NE-101012042;Public;2021-2022
Effeynatess;NE;Agadez;ADEBISSANAT;École primaire;NE-101012043;Public;2021-2022
Fourkouk;NE;Agadez;ADEBISSANAT;École primaire;NE-101012044;Public;2021-2022
Imboraghane;NE;Agadez;ADEBISSANAT;École primaire;NE-101012045;Public;2021-2022
Medersa Soukoumour;NE;Agadez;ADEBISSANAT;École primaire;NE-101012046;Public;2021-2022
Tchinagarof 2;NE;Agadez;ADEBISSANAT;École primaire;NE-101012047;Public;2021-2022
Tillia;NE;Agadez;ADEBISSANAT;École primaire;NE-101012048;Public;2021-2022
Toudoun Fédou;NE;Agadez;ADEBISSANAT;École primaire;NE-101012049;Public;2021-2022
Akawal Medersa;NE;Agadez;ADEBISSANAT;École primaire;NE-101012050;Public;2021-2022
Barka;NE;Agadez;ADEBISSANAT;École primaire;NE-101012051;Public;2021-2022
Edibig 2;NE;Agadez;ADEBISSANAT;École primaire;NE-101012052;Public;2021-2022
Idib;NE;Agadez;ADEBISSANAT;École primaire;NE-101012054;Public;2021-2022
Inkadéwane Ouest;NE;Agadez;ADEBISSANAT;École primaire;NE-101012055;Public;2021-2022
Intiza touareg;NE;Agadez;ADEBISSANAT;École primaire;NE-101012056;Public;2021-2022
Noussa;NE;Agadez;ADEBISSANAT;École primaire;NE-101012057;Public;2021-2022
Toumboulaga;NE;Agadez;ADEBISSANAT;École primaire;NE-101012058;Public;2021-2022
Tounkou;NE;Agadez;ADEBISSANAT;École primaire;NE-101012059;Public;2021-2022
Zargaw 1;NE;Agadez;ADEBISSANAT;École primaire;NE-101012060;Public;2021-2022
Medersa Aderbissinat;NE;Agadez;ADEBISSANAT;École primaire;NE-101012061;Public;2021-2022
Kirifitchi;NE;Agadez;ADEBISSANAT;École primaire;NE-101012064;Public;2021-2022
Medersa Ezawzaw;NE;Agadez;ADEBISSANAT;École primaire;NE-101012065;Public;2021-2022
Medersa Malam Biyo;NE;Agadez;ADEBISSANAT;École primaire;NE-101012067;Public;2021-2022
Tanalher Privée;NE;Agadez;ADEBISSANAT;École primaire;NE-101012068;Privé;2021-2022
