nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
COLLEGE SAINT RANIS / SEC;CD;Kinshasa;MONT-NGAFUL A;Lycée;P1000522;Privé;2024-2025
COMPLEXE SCOLAIRE SOEUR EUNICE /MATERNELLE;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P1000612;Privé;2024-2025
COMPLEXE SCOLAIRE SOEUR EUNICE /PRIMAIRE;CD;Kinshasa;MONT-NGAFUL A;École primaire;P1000615;Privé;2024-2025
COMPLEXE SCOLAIRE ELAKA;CD;Kinshasa;NGALIEMA;Lycée;P1000616;Privé;2024-2025
COMPLEXE SCOLAIRE SOEUR EUNICE /SECONDAIRE;CD;Kinshasa;MONT-NGAFUL A;Lycée;P1000617;Privé;2024-2025
COMPLEXE SCOLAIRE SOEUR EUNICE /SECONDAIRE;CD;Kinshasa;MONT-NGAFUL A;Lycée;P1000617-5;Privé;2024-2025
LYCEE BILINGUE CLAUDE MAFEMA;CD;Kinshasa;NGALIEMA;École primaire;P1000625;Privé;2024-2025
COMPLEXE SCOLAIRE NYRA /MATERNELLE;CD;Kinshasa;NGALIEMA;École maternelle;P1000635;Privé;2024-2025
COLLEGE SAINT BRUNO;CD;Kinshasa;LINGWALA;École primaire;P1000664;Privé;2024-2025
COMPLEXE SCOLAIRE MANYANGA /MATERNELLA;CD;Kinshasa;GOMBE;École maternelle;P1000668;Privé;2024-2025
COMPLEXE SCOLAIRE MANYANGA/PRIMAIRE;CD;Kinshasa;GOMBE;École primaire;P1000671;Privé;2024-2025
COLLEGE MAMAN WA BOSAWA;CD;Kinshasa;NGALIEMA;Lycée;P1000682;Privé;2024-2025
COMPLEXE SCOLAIRE MAMAN ROSA/MATERNELLE;CD;Kinshasa;NGALIEMA;École maternelle;P1000704;Privé;2024-2025
COMPLEXE SCOLAIRE MAMAN ROSA/SECONDAIRE;CD;Kinshasa;NGALIEMA;Lycée;P1000705;Privé;2024-2025
COMPLEXE SCOLAIRE MAMAN ROSA/SECONDAIRE;CD;Kinshasa;NGALIEMA;Lycée;P1000705-14;Privé;2024-2025
COMPLEXE SCOLAIRE MAMAN ROSA/PRIMAIRE;CD;Kinshasa;NGALIEMA;École primaire;P1000708;Privé;2024-2025
COMPLEXE SCOLAIRE BENEDICTE/SECONDAIRE;CD;Kinshasa;NGALIEMA;Lycée;P1000714;Privé;2024-2025
COMPLEXE SCOLAIRE BENEDICTE/SECONDAIRE;CD;Kinshasa;NGALIEMA;Lycée;P1000714-17;Privé;2024-2025
COLLEGE SAINTB FABRINA/SECONDAIRE;CD;Kinshasa;MONT-NGAFUL A;Lycée;P1000719;Privé;2024-2025
COLLEGE SAINTB FABRINA/SECONDAIRE;CD;Kinshasa;MONT-NGAFUL A;Lycée;P1000719-19;Privé;2024-2025
COMPLEXE SCOLAIRE CEC DJELO BINZA;CD;Kinshasa;NGALIEMA;École primaire;P1000847;Privé;2024-2025
COMPLEXE SCOLAIRE DIAKIESE / PRIMAIRE;CD;Kinshasa;NGALIEMA;École primaire;P1000853;Privé;2024-2025
COMPLEXE SCOLAIRE LA ROSEE / PRIMAIRE;CD;Kinshasa;NGALIEMA;École primaire;P1000863;Privé;2024-2025
COMPLEXE SCOLAIRE ANGE /MATERNELLE;CD;Kinshasa;KINSHASA;École maternelle;P1001910;Privé;2024-2025
GROUPE SCOLAIRE PETIS PIGEON KROUKROU;CD;Kinshasa;MONT-NGAFUL A;Lycée;P1001911;Privé;2024-2025
COMPLEXE SCOLAIRE ANGE /PRIMAIRE;CD;Kinshasa;KINSHASA;École primaire;P1001915;Privé;2024-2025
COLLEGE EMILE DURKHEIM;CD;Kinshasa;MONT-NGAFUL A;École primaire;P1001918;Privé;2024-2025
