nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
COLLEGE PRIVE KHADIM RASSOUL - MEOUANE;SN;Thiès;Mboro 1;Collège;SN-001;Privé;2024-2025
COLLEGE PRIVE JOHN HUFFMAN;SN;Thiès;Mbour 3 (Amitié);Collège;SN-002;Privé;2024-2025
COLLEGE PRIVE IMS;SN;Thiès;Cité Malick Sy;Collège;SN-003;Privé;2024-2025
COLLEGE PRIVE FRANÇAIS;SN;Thiès;Escale Sud;Collège;SN-004;Privé;2024-2025
COLLEGE PRIVE FALLOU GALLAS;SN;Thiès;Randoulène Nord;Collège;SN-005;Privé;2024-2025
COLLEGE PRIVE ET ELEMENTAIRE ARABE - LOUGA - ARTILLERIE;SN;Louga;Artillerie Nord;Collège;SN-006;Privé;2024-2025
COLLEGE PRIVE ET ELEMENTAIRE - KAOLACK - DIALEGNE II;SN;Kaolack;Dialègne 2;Collège;SN-007;Privé;2024-2025
COLLEGE PRIVE ET ELEMENTAIRE - NDAME - TOUBA MOSQUEE;SN;Diourbel;Touba Mosquée;Collège;SN-008;Privé;2024-2025
COLLEGE PRIVE ET ELEMENTAIRE - TIVAOUANE - NDOUTTE;SN;Thiès;Ndoutte;Collège;SN-009;Privé;2024-2025
COLLEGE PRIVE EDUC'ACTION;SN;Thiès;Cité Malick Sy;Collège;SN-010;Privé;2024-2025
